title,composer,origin,project,year,artist,publisher,venue_date,spotify,youtube,filename,genres,album,albumcover
De Vadertjes,Dendooven-Van Nueten,musical,Soepkinders,2005,"Charlotte Vandermeersch, Gert Jochems & The Soup Group",,"CC Kortrijk, Belgium, 28-04-2005",,,/audio/De Vadertjes.mp3,"Song,Pop,Stage,Live,Classical",,
Death Of Neon,Barman-Bolland,,,2014,Magnus,Caroline/Universal,,,,/audio/Death Of Neon3.mp3,"Pop,Song,Electronic",Where Neon Goes To Die,
Death of Neon,Barman-Bolland,,,2014,Magnus,Caroline/Universal,,,,/audio/Death of Neon1.mp3,"Pop,Song,Electronic,pop,song,electronic",,
Death of Neon,Barman-Bolland,,,2014,Magnus,Caroline/Universal,,,,/audio/Death of Neon2 (256kbps).mp3,"Pop,Song,Electronic",Where Neon Goes To Die,
Diabo do Belho,Traditonal-Van Nueten,,,2007,"Octopus Chamber Choir, directed by Bart Van Reyn",,,,,/audio/Diabo do Belho.mp3,"Stage,Traditional,Orchestral",,
Diabo do Belho,Traditonal-Van Nueten,,,2007,"Octopus Chamber Choir, directed by Bart Van Reyn",,,,,/audio/Diabo do Belho1.mp3,"Old Styles,Contemporary,Song,Orchestral,Stage",,
Diabo do Belho,Traditonal-Van Nueten,,,2007,"Octopus Chamber Choir, directed by Bart Van Reyn",,,,,/audio/Diabo do Belho2.mp3,"Old Styles,Contemporary,Stage",,
DiscoMisdaadAfraid,Van Nueten,musical theatre,The Medium,2014,,,,,,/audio/DiscoMisdaadAfraid1.mp3,"Electronic,Pop,Stage",,
DiscoMisdaadAfraid,Van Nueten,musical theatre,The Medium,2014,,,,,,/audio/DiscoMisdaadAfraid2.mp3,"Electronic,Stage",,
Dit is Oorlog!,Van Nueten,puppet theatre,t Beest,2000,,,,,,/audio/Dit is Oorlog! 1.mp3,"Electronic,Pop,Stage",,
Divina Commedia,Van Nueten,musical theatre,De 7 hoofdzonden,2009,"7 celli, directed by Katelijn Van Kerckhoven",,,,,/audio/Divina Commedia 1.mp3,"Classical,Contemporary,Orchestral",,
Divina Commedia,Van Nueten,musical theatre,De 7 hoofdzonden,2009,"7 celli, directed by Katelijn Van Kerckhoven",,,,,/audio/Divina Commedia1.mp3,"Contemporary,Orchestral,Stage",,
Doe de Doodlig,Van Nueten,musical,Soepkinders,2005,"Charlotte Vandermeersch, Gert Jochems & The Soup Group",,"CC Kortrijk, Belgium, 28-04-2005",,,/audio/Doe de Doodlig.mp3,"Live,Stage,Song,Contemporary",,
Doll Parts,Courtney Love,,,,Lara Chedraoui & Guy Van Nueten,,"Concertstudio, 17 dec.2012, Kortrijk, Belgium",,,/audio/Doll Parts.mp3,"Live,Pop,Song",,
Dolor Y Pasión I. Trop is Teveel,Van Nueten,,,2018,,Sony Classical,,,,/audio/Dolor Y Pasión I Trop is Teveel1.mp3,"Piano,Classical,Contemporary",Contact,/albumcovers/Contact.webp
Dolor Y Pasión I. Trop is Teveel,Van Nueten,,,2018,,Sony Classical,,,,/audio/Dolor Y Pasión I Trop is Teveel2.mp3,"Piano,Classical,Contemporary",Contact,/albumcovers/Contact.webp
Dolor Y Pasión II. Les Papillons,Van Nueten,,,2018,,Sony Classical,,,,/audio/Dolor Y Pasión II Les Papillons1.mp3,"Piano,Classical,Contemporary",Contact,/albumcovers/Contact.webp
Dolor Y Pasión II. Les Papillons,Van Nueten,,,2018,,Sony Classical,,,,/audio/Dolor Y Pasión II Les Papillons2.mp3,"Piano,Classical,Contemporary",Contact,/albumcovers/Contact.webp
Dolor y Pasión II. Les Papillons (demo version),Van Nueten,,,,2016,,,,,/audio/Dolor y Pasión II. Les Papillons (demo version).mp3,"Piano,Solo,Classical,Contemporary",Contact,/albumcovers/Contact.webp
Donny Boy,Criscietello-Van Nueten,,,,Vanity Project,,"CC Brass, 13-04-2017, Forest, Belgium",,https://youtu.be/OrCGmgMmejQ,/audio/Donny Boy1.mp3,"Electronic,Song,Pop,Rock,Live",,
Donny Boy,Criscietello-Van Nueten,,,,Vanity Project,,"CC Brass, 13-04-2017, Forest, Belgium",,https://youtu.be/OrCGmgMmejQ,/audio/Donny Boy2.mp3,"Electronic,Song,Pop,Rock,Live",,
Drops,Van Nueten,musical theatre,Solitary Confinement,2013,,,,,,/audio/Drops.mp3,"Electronic,Stage,Minimal",,
Drops,Van Nueten,musical theatre,Solitary Confinement,2013,,,,,,/audio/Drops2.mp3,"Electronic,Stage,Minimal",,
Durch Brüssel,Van Nueten,silent movie collection,"Bruxelles, Ville en Images",2014,,Royal Film Archive of Belgium,,,,/audio/Durch Brüssel.mp3,"Piano,Old Styles,Contemporary,Film","Bruxelles, Ville en Images",
Durch Brüssel,Van Nueten,silent movie collection,"Bruxelles, Ville en Images",2014,,Royal Film Archive of Belgium,,,,/audio/Durch Brüssel2.mp3,"Piano,Old Styles,Contemporary,Film","Bruxelles, Ville en Images",
Dysfunctional Family Climax,Van Nueten,feature film,Milo,2015,"Milo Chamber Orchestra, directed by Dirk De Caluwé",Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,https://www.youtube.com/watch?v=C_d0ArG29QM&index=3&list=PLsmvutRI5QqVag3gFUD6wu2jh0pIHaczE,/audio/Dysfunctional Family Climax.mp3,"Contemporary,Orchestral,Film",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Dysfunctional Family Climax,Van Nueten,feature film,Milo,,"Milo Chamber Orchestra, directed by Dirk De Caluwé",Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,https://www.youtube.com/watch?v=C_d0ArG29QM&index=3&list=PLsmvutRI5QqVag3gFUD6wu2jh0pIHaczE,/audio/Dysfunctional Family Climax1.mp3,"Contemporary,Orchestral,Film",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Dysfunctional Family Theme,Van Nueten,feature film,Milo,2015,Guy Van Nueten,Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,,/audio/Dysfunctional Family Theme.mp3,"Contemporary,Electronic,Minimal,Film",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Een Andere Droom,Van Nueten,,,2013,,Bolli Records,,https://open.spotify.com/album/3IcFBuAA3PzwjU4D5kjDic,,/audio/Een Andere Droom.mp3,"Piano,Classical,Contemporary",Pacman,/albumcovers/Pacman.webp
Eindeloze Reverb,Van Nueten,musical theatre,Maria Magdalena,2008,,,,,,/audio/Eindeloze Reverb.mp3,"Electronic,Stage,Contemporary,Film",,
Epiloog,Van Nueten,documentary,Epilogue,2010,,,,,https://youtu.be/URW_plh3d9g,/audio/Epiloog (Begingeneriek).mp3,"Piano,Old Styles,Contemporary,Film",,
Epiloog,Van Nueten,documentary,Epilogue,2010,,,,,https://youtu.be/URW_plh3d9g,/audio/Epiloog.mp3,"Piano,Old Styles,Contemporary,Film",,
Epiloog,Van Nueten,documentary,Epilogue,2010,,,,,https://youtu.be/URW_plh3d9g,/audio/Epiloog2.mp3,"Piano,Neo-classical,Film",,
